"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"VIA-0.6mm";21;"VIA-0.6mm";;;
2;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
3;"P3,P2";"Pin_Header_Straight_2x08_Pitch2.54mm";2;"CONN_02X08";;;
4;"P1";"Pin_Header_Straight_2x13_Pitch2.54mm";1;"CONN_02X13";;;
5;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
6;"C8,C5,C1";"C_Disc_D4.7mm_W2.5mm_P5.00mm";3;"100nF";;;
7;"P4";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"CONN_02X03";;;
8;"C7,C6";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"22p";;;
9;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"10uF";;;
10;"D2";"LED_D3.0mm";1;"Led_Yellow";;;
11;"D3";"LED_D3.0mm";1;"Led_Red";;;
12;"D1";"LED_D3.0mm";1;"Led_Green";;;
13;"J1";"BARREL_JACK";1;"Barrel_Jack";;;
14;"C4";"CP_Radial_D6.3mm_P2.50mm";1;"1uF";;;
15;"C3";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"0.33uF";;;
16;"U1,U2,U7,U8,U13";"DIP-16_W7.62mm_Socket";5;"74HC595";;;
17;"U3,U4,U5,U6,U9,U10,U11,U12,U14,U15,U16,U17,U18,U19,U21,U22,U23,U24,U25,U26";"DIP-16_W7.62mm_Socket";20;"L293D";;;
18;"U28";"DIP-28_W7.62mm_Socket";1;"ATMEGA328P-PU";;;
19;"U27";"TO-220_Vertical";1;"L7805";;;
20;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"1k";;;
21;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"2k";;;
22;"R3,R4,R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";3;"1.5K";;;
23;"R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"10k";;;
24;"R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"1M";;;
25;"REF**";"MountingHole_5.3mm_M5_DIN965";1;"MountingHole_5.3mm_M5_DIN965";;;
26;"U20";"ESP8266_D1_Mini_cropped";1;"ESP8266_D1_Mini";;;
27;"G***";"FDD_Icon";1;"LOGO";;;
